Rank,City,Country,COLA,Rent,Groceries,Restaurant,PPI
1,Tokyo,Japan,85.48,43.56,89.13,49.73,79.08
2,Seoul,South Korea,83.16,34.15,102.71,46.89,69.19
3,Singapore,Singapore,83.11,64.91,72.85,61.41,80.60
4,Osaka,Japan,81.16,24.36,83.68,46.63,80.55
5,Hong Kong,Hong Kong,79.06,74.51,80.33,58.55,62.61
6,Macao,Macao,70.24,44.08,68.57,50.52,64.58
7,Taipei,Taiwan,65.08,25.48,78.02,31.15,57.91
8,Kaohsiung,Taiwan,61.78,13.60,74.91,27.06,53.12
9,Bangkok,Thailand,53.01,26.61,52.35,26.19,31.29
10,Shanghai,China,52.25,41.81,56.81,37.77,54.42
11,Phuket,Thailand,49.76,18.17,49.00,30.71,29.72
12,Shenzhen,China,49.75,28.34,53.83,34.14,54.67
13,Phnom Penh,Cambodia,48.43,17.61,50.44,24.68,13.67
14,Pattaya,Thailand,48.42,16.71,48.45,30.10,20.33
15,Beijing,China,47.39,37.88,46.54,35.88,54.12
16,Wuhan,China,46.07,11.02,55.43,26.37,42.18
17,Bali,Indonesia,44.77,11.65,44.85,27.18,14.14
18,Chiang Mai,Thailand,44.40,14.31,49.06,22.76,33.90
19,Nanjing,China,43.99,17.13,44.19,28.64,54.22
20,Hangzhou,China,43.37,18.49,48.32,28.13,59.66
21,Chengdu,China,43.11,12.21,49.13,24.45,47.95
22,Manila,Philippines,42.89,26.50,40.64,25.38,17.65
23,Quezon City,Philippines,42.61,11.23,40.82,19.28,22.83
24,Petaling Jaya,Malaysia,42.43,15.18,45.98,23.11,54.73
25,Johor Bahru,Malaysia,42.15,9.53,47.79,23.46,52.30
26,Guangzhou,China,42.05,20.05,44.75,27.25,63.42
27,Cebu,Philippines,41.75,14.81,42.00,24.14,19.60
28,Jakarta,Indonesia,41.71,17.92,41.67,23.35,24.54
29,Kuala Lumpur,Malaysia,40.58,14.07,40.85,25.17,58.32
30,Kota Kinabalu,Malaysia,39.56,10.24,45.25,20.57,44.21
31,Penang,Malaysia,38.99,10.19,40.97,21.30,60.44
32,Ho Chi Minh City,Vietnam,38.80,19.34,38.27,21.44,25.44
33,Da Nang,Vietnam,37.12,14.21,37.61,19.03,18.58
34,Hanoi,Vietnam,36.54,12.03,36.84,18.38,27.77
35,Bandung,Indonesia,36.06,8.23,38.05,17.12,20.82
36,Surabaya,Indonesia,35.47,11.02,39.00,17.19,21.14
37,Yogyakarta,Indonesia,33.74,8.30,38.72,14.40,10.20
38,Colombo,Sri Lanka,33.42,14.97,37.61,20.68,18.81
39,Ulaanbaatar,Mongolia,33.29,11.65,32.42,24.15,26.31
40,Gurgaon,India,33.22,10.31,31.96,28.85,69.68
41,Astana (Nur-Sultan),Kazakhstan,32.00,10.52,26.08,32.38,39.85
42,Baku,Azerbaijan,31.97,10.34,26.57,31.29,25.94
