Rank City Country COLA Rent Groceries Restaurant PPI
1 TelAviv Israel 91.21 48.79 79.66 98.25 63.38
2 Beirut Lebanon 87.54 28.48 84.05 77.68 21.22
3 Jerusalem Israel 84.63 37.37 68.77 96.20 63.85
4 Haifa Israel 83.40 23.39 68.96 88.94 75.24
5 Limassol Cyprus 67.90 31.34 53.90 76.24 49.15
6 Nicosia Cyprus 66.70 21.28 56.85 66.70 53.56
7 Dubai UnitedArabEmirates 65.87 51.68 49.65 72.18 83.77
8 Doha Qatar 62.89 49.27 53.77 62.98 84.32
9 Larnaca Cyprus 60.06 21.28 49.81 55.75 47.84
10 AbuDhabi UnitedArabEmirates 59.82 45.91 49.12 62.08 94.13
11 Manama Bahrain 56.19 29.45 44.12 50.94 53.03
12 Ajman UnitedArabEmirates 54.15 28.27 41.55 59.82 45.85
13 Paphos Cyprus 54.07 16.04 43.83 47.14 55.20
14 Amman Jordan 53.99 11.98 43.12 47.65 27.51
15 Riyadh SaudiArabia 52.40 15.04 42.33 39.49 86.65
16 Sharjah UnitedArabEmirates 52.30 24.28 41.49 43.32 74.76
17 Jeddah SaudiArabia 51.65 11.25 42.29 33.68 70.30
18 Muscat Oman 50.79 19.79 47.59 45.02 87.79
19 AdDammam SaudiArabia 48.99 15.42 42.50 33.81 74.08
20 KuwaitCity Kuwait 48.42 32.59 35.81 45.29 64.41
21 Tehran Iran 38.99 24.10 32.89 28.64 14.88
22 Erbil Iraq 35.47 11.04 29.27 28.52 36.73
23 Istanbul Turkey 34.77 9.98 29.36 24.58 32.48
24 Damascus Syria 33.82 9.94 32.39 28.11 7.24
25 Baghdad Iraq 33.15 12.47 26.72 26.33 35.66
26 AsSulaymaniyah Iraq 32.64 9.62 28.03 28.57 38.23
27 Ankara Turkey 32.60 6.11 28.83 21.99 40.93
28 Adana Turkey 32.11 4.89 26.93 20.01 32.97
29 Izmir Turkey 31.78 6.46 28.00 21.80 35.87
30 Bursa Turkey 31.30 5.58 29.02 18.73 33.01
31 Antalya Turkey 29.52 5.30 27.48 19.45 34.21
